xflr5 v6.61

Plane name :        c90_s0_+2_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.026226   0.000160   0.008890   0.009050   0.000000  -0.000000  -0.023672  -0.000000   0.000000   43.0000     0.4871
   -1.500     0.000   0.072326   0.000295   0.008449   0.008744   0.000000  -0.000000  -0.039441  -0.000000   0.000000   43.0000     0.2924
   -1.000     0.000   0.117823   0.000542   0.008109   0.008651   0.000000  -0.000000  -0.055077  -0.000000   0.000000   43.0000     0.2599
   -0.500     0.000   0.164356   0.000897   0.008004   0.008901   0.000000  -0.000000  -0.071033  -0.000000   0.000000   43.0000     0.2418
    0.000     0.000   0.211260   0.001363   0.008005   0.009368   0.000000  -0.000000  -0.087087  -0.000000   0.000000   43.0000     0.2323
    0.500     0.000   0.258255   0.001941   0.008066   0.010007   0.000000   0.000000  -0.103140  -0.000000  -0.000000   43.0000     0.2263
    1.000     0.000   0.305139   0.002630   0.008170   0.010801   0.000000  -0.000000  -0.119074  -0.000000  -0.000000   43.0000     0.2221
    1.500     0.000   0.352424   0.003435   0.008315   0.011750   0.000000  -0.000000  -0.135193  -0.000000  -0.000000   43.0000     0.2191
    2.000     0.000   0.400285   0.004358   0.008485   0.012843   0.000000   0.000000  -0.151567  -0.000000  -0.000000   43.0000     0.2169
    2.500     0.000   0.448605   0.005403   0.008666   0.014069   0.000000  -0.000000  -0.168131  -0.000000  -0.000000   43.0000     0.2152
    3.000     0.000   0.497747   0.006577   0.008859   0.015436   0.000000  -0.000000  -0.185080  -0.000000  -0.000000   43.0000     0.2140
    3.500     0.000   0.548123   0.007895   0.009060   0.016955   0.000000   0.000000  -0.202650  -0.000000  -0.000000   43.0000     0.2133
    4.000     0.000   0.599719   0.009371   0.009275   0.018645   0.000000  -0.000000  -0.220896  -0.000000  -0.000000   43.0000     0.2129
    4.500     0.000   0.652358   0.011002   0.009503   0.020504   0.000000  -0.000000  -0.239731  -0.000000  -0.000000   43.0000     0.2128
    5.000     0.000   0.704867   0.012785   0.009735   0.022519   0.000000  -0.000000  -0.258558  -0.000000  -0.000000   43.0000     0.2127
    5.500     0.000   0.757368   0.014670   0.009984   0.024654   0.000000  -0.000000  -0.277418  -0.000000  -0.000000   43.0000     0.2125
    6.000     0.000   0.808942   0.016674   0.010245   0.026918   0.000000  -0.000000  -0.295833  -0.000000  -0.000000   43.0000     0.2122
    6.500     0.000   0.859188   0.018761   0.010511   0.029273   0.000000  -0.000000  -0.313672  -0.000000  -0.000000   43.0000     0.2118
    7.000     0.000   0.907591   0.020909   0.010801   0.031709   0.000000  -0.000000  -0.330674  -0.000000  -0.000000   43.0000     0.2112
    7.500     0.000   0.951727   0.022988   0.011103   0.034091   0.000000   0.000000  -0.345395  -0.000000  -0.000000   43.0000     0.2101
    8.000     0.000   0.994759   0.025137   0.011427   0.036564   0.000000  -0.000000  -0.359590  -0.000000  -0.000000   43.0000     0.2089
