xflr5 v6.61

Plane name :        c90_s0_+3_twist
Polar name :        T1-42.0 m/s-LLT
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.076156   0.000520   0.008633   0.009152   0.000000  -0.000000  -0.042896  -0.000000   0.000000   43.0000     0.2889
   -1.500     0.000   0.122306   0.000786   0.008253   0.009039   0.000000  -0.000000  -0.058741  -0.000000   0.000000   43.0000     0.2550
   -1.000     0.000   0.168407   0.001166   0.008062   0.009229   0.000000   0.000000  -0.074592  -0.000000   0.000000   43.0000     0.2418
   -0.500     0.000   0.215149   0.001656   0.008028   0.009684   0.000000   0.000000  -0.090608  -0.000000   0.000000   43.0000     0.2322
    0.000     0.000   0.262063   0.002256   0.008073   0.010329   0.000000   0.000000  -0.106640  -0.000000   0.000000   43.0000     0.2263
    0.500     0.000   0.308914   0.002966   0.008166   0.011132   0.000000   0.000000  -0.122587  -0.000000   0.000000   43.0000     0.2221
    1.000     0.000   0.355957   0.003790   0.008303   0.012093   0.000000   0.000000  -0.138624  -0.000000   0.000000   43.0000     0.2190
    1.500     0.000   0.403502   0.004729   0.008472   0.013201   0.000000   0.000000  -0.154872  -0.000000  -0.000000   43.0000     0.2168
    2.000     0.000   0.451500   0.005785   0.008657   0.014442   0.000000  -0.000000  -0.171305  -0.000000  -0.000000   43.0000     0.2151
    2.500     0.000   0.500261   0.006968   0.008854   0.015822   0.000000   0.000000  -0.188105  -0.000000  -0.000000   43.0000     0.2138
    3.000     0.000   0.550177   0.008288   0.009062   0.017350   0.000000  -0.000000  -0.205493  -0.000000  -0.000000   43.0000     0.2130
    3.500     0.000   0.601606   0.009762   0.009280   0.019042   0.000000  -0.000000  -0.223661  -0.000000  -0.000000   43.0000     0.2126
    4.000     0.000   0.653991   0.011395   0.009511   0.020906   0.000000  -0.000000  -0.242380  -0.000000  -0.000000   43.0000     0.2125
    4.500     0.000   0.706752   0.013167   0.009751   0.022917   0.000000  -0.000000  -0.261264  -0.000000  -0.000000   43.0000     0.2124
    5.000     0.000   0.759084   0.015081   0.010002   0.025082   0.000000  -0.000000  -0.280029  -0.000000  -0.000000   43.0000     0.2122
    5.500     0.000   0.811065   0.017091   0.010268   0.027358   0.000000  -0.000000  -0.298617  -0.000000  -0.000000   43.0000     0.2120
    6.000     0.000   0.861871   0.019207   0.010543   0.029750   0.000000   0.000000  -0.316670  -0.000000  -0.000000   43.0000     0.2117
    6.500     0.000   0.910634   0.021370   0.010834   0.032204   0.000000   0.000000  -0.333713  -0.000000  -0.000000   43.0000     0.2111
    7.000     0.000   0.955558   0.023491   0.011140   0.034631   0.000000   0.000000  -0.348759  -0.000000  -0.000000   43.0000     0.2100
    7.500     0.000   0.998594   0.025661   0.011468   0.037130   0.000000   0.000000  -0.362946  -0.000000  -0.000000   43.0000     0.2088
    8.000     0.000   1.041480   0.027908   0.011822   0.039730   0.000000  -0.000000  -0.377054  -0.000000  -0.000000   43.0000     0.2077
    8.500     0.000   1.084319   0.030239   0.012204   0.042443   0.000000   0.000000  -0.391122  -0.000000  -0.000000   43.0000     0.2066
    9.000     0.000   1.127076   0.032645   0.012622   0.045267   0.000000   0.000000  -0.405139  -0.000000  -0.000000   43.0000     0.2056
    9.500     0.000   1.169668   0.035136   0.013077   0.048213   0.000000  -0.000000  -0.419079  -0.000000  -0.000000   43.0000     0.2046
   10.000     0.000   1.212083   0.037703   0.013575   0.051278   0.000000   0.000000  -0.432929  -0.000000  -0.000000   43.0000     0.2037
   10.500     0.000   1.254129   0.040334   0.014122   0.054456   0.000000  -0.000000  -0.446592  -0.000000  -0.000000   43.0000     0.2027
   11.000     0.000   1.295396   0.043001   0.014743   0.057743   0.000000  -0.000000  -0.459865  -0.000000  -0.000000   43.0000     0.2018
   11.500     0.000   1.335585   0.045683   0.015446   0.061129   0.000000   0.000000  -0.472616  -0.000000  -0.000000   43.0000     0.2008
   12.000     0.000   1.374278   0.048348   0.016249   0.064597   0.000000  -0.000000  -0.484643  -0.000000  -0.000000   43.0000     0.1997
   12.500     0.000   1.411027   0.050959   0.017169   0.068127   0.000000   0.000000  -0.495749  -0.000000  -0.000000   43.0000     0.1985
   13.000     0.000   1.445844   0.053509   0.018170   0.071679   0.000000  -0.000000  -0.505910  -0.000000  -0.000000   43.0000     0.1973
   13.500     0.000   1.476558   0.055798   0.019280   0.075078   0.000000  -0.000000  -0.513848  -0.000000  -0.000000   43.0000     0.1958
   14.000     0.000   1.503827   0.057899   0.020541   0.078440   0.000000  -0.000000  -0.520231  -0.000000  -0.000000   43.0000     0.1941
   14.500     0.000   1.526860   0.059739   0.022035   0.081774   0.000000   0.000000  -0.524968  -0.000000  -0.000000   43.0000     0.1924
   15.000     0.000   1.545768   0.061279   0.023894   0.085173   0.000000  -0.000000  -0.528373  -0.000000  -0.000000   43.0000     0.1907
   15.500     0.000   1.277181   0.095915   0.017379   0.113294   0.000000  -0.000000  -0.457447  -0.000000  -0.000000   43.0000     0.1940
   16.000     0.000   1.296958   0.099036   0.018661   0.117696   0.000000  -0.000000  -0.461934  -0.000000  -0.000000   43.0000     0.1925
   16.500     0.000   1.313742   0.101848   0.020331   0.122179   0.000000  -0.000000  -0.465670  -0.000000  -0.000000   43.0000     0.1912
   17.000     0.000   1.281577   0.107215   0.021338   0.128553   0.000000  -0.000000  -0.463319  -0.000000  -0.000000   43.0000     0.1906
   17.500     0.000   0.780473   0.121288   0.008816   0.130103   0.000000   0.000000  -0.261241  -0.000000  -0.000000   43.0000     0.2043
   18.000     0.000   0.797724   0.126720   0.009123   0.135844   0.000000   0.000000  -0.266513  -0.000000  -0.000000   43.0000     0.2037
   18.500     0.000   0.814332   0.132169   0.009465   0.141634   0.000000   0.000000  -0.271568  -0.000000  -0.000000   43.0000     0.2030
   19.000     0.000   0.830469   0.137617   0.009858   0.147475   0.000000   0.000000  -0.276484  -0.000000  -0.000000   43.0000     0.2023
   19.500     0.000   0.845759   0.142968   0.010364   0.153332   0.000000   0.000000  -0.281156  -0.000000   0.000000   43.0000     0.2016
   20.000     0.000   0.710802   0.142924   0.008156   0.151080   0.000000  -0.000000  -0.254331   0.000000   0.000000   43.0000     0.2033


