xflr5 v6.61

Plane name :        c90_s0_-1_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.122717   0.000458   0.007959   0.008417   0.000000   0.000000   0.032563   0.000000   0.000000   43.0000     0.1424
   -1.500     0.000  -0.076065   0.000221   0.008258   0.008479   0.000000  -0.000000   0.016963  -0.000000  -0.000000   43.0000     0.1038
   -1.000     0.000  -0.032264   0.000093   0.008813   0.008906   0.000000   0.000000   0.002820  -0.000000   0.000000   43.0000     0.0069
   -0.500     0.000   0.014225   0.000047   0.008568   0.008615   0.000000  -0.000000  -0.013214  -0.000000   0.000000   43.0000     0.3770
    0.000     0.000   0.059275   0.000108   0.008136   0.008243   0.000000  -0.000000  -0.028533  -0.000000  -0.000000   43.0000     0.3492
    0.500     0.000   0.105798   0.000282   0.008002   0.008284   0.000000   0.000000  -0.044426  -0.000000  -0.000000   43.0000     0.2639
    1.000     0.000   0.152775   0.000570   0.007983   0.008553   0.000000   0.000000  -0.060485  -0.000000  -0.000000   43.0000     0.2434
    1.500     0.000   0.199937   0.000972   0.008029   0.009001   0.000000   0.000000  -0.076587  -0.000000  -0.000000   43.0000     0.2331
    2.000     0.000   0.247177   0.001490   0.008117   0.009607   0.000000   0.000000  -0.092674  -0.000000  -0.000000   43.0000     0.2267
    2.500     0.000   0.294729   0.002126   0.008233   0.010360   0.000000   0.000000  -0.108841  -0.000000  -0.000000   43.0000     0.2223
    3.000     0.000   0.342897   0.002888   0.008378   0.011266   0.000000   0.000000  -0.125300  -0.000000  -0.000000   43.0000     0.2194
    3.500     0.000   0.391785   0.003781   0.008538   0.012319   0.000000  -0.000000  -0.142089  -0.000000  -0.000000   43.0000     0.2173
    4.000     0.000   0.441240   0.004810   0.008707   0.013517   0.000000  -0.000000  -0.159126  -0.000000  -0.000000   43.0000     0.2158
    4.500     0.000   0.491457   0.005977   0.008885   0.014862   0.000000   0.000000  -0.176532  -0.000000  -0.000000   43.0000     0.2148
