xflr5 v6.61

Plane name :        c90_s0_0_twist
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.076317   0.000152   0.009035   0.009187   0.000000  -0.000000   0.015914  -0.000000  -0.000000   43.0000     0.1046
   -1.500     0.000  -0.027836   0.000026   0.008960   0.008986   0.000000  -0.000000  -0.000793  -0.000000  -0.000000   43.0000     0.0493
   -1.000     0.000   0.018599   0.000006   0.008675   0.008681   0.000000  -0.000000  -0.016863  -0.000000   0.000000   43.0000     0.5412
   -0.500     0.000   0.063321   0.000092   0.008173   0.008265   0.000000  -0.000000  -0.032087  -0.000000  -0.000000   43.0000     0.3334
    0.000     0.000   0.109697   0.000288   0.008009   0.008297   0.000000   0.000000  -0.047949  -0.000000  -0.000000   43.0000     0.2631
    0.500     0.000   0.156572   0.000597   0.007976   0.008574   0.000000   0.000000  -0.063988  -0.000000  -0.000000   43.0000     0.2431
    1.000     0.000   0.203649   0.001020   0.008010   0.009030   0.000000   0.000000  -0.080076  -0.000000  -0.000000   43.0000     0.2328
    1.500     0.000   0.250797   0.001557   0.008093   0.009650   0.000000   0.000000  -0.096149  -0.000000  -0.000000   43.0000     0.2265
    2.000     0.000   0.298019   0.002208   0.008206   0.010414   0.000000   0.000000  -0.112189  -0.000000  -0.000000   43.0000     0.2222
    2.500     0.000   0.345936   0.002982   0.008355   0.011338   0.000000   0.000000  -0.128550  -0.000000  -0.000000   43.0000     0.2192
    3.000     0.000   0.394371   0.003881   0.008519   0.012401   0.000000  -0.000000  -0.145155  -0.000000  -0.000000   43.0000     0.2171
    3.500     0.000   0.443449   0.004911   0.008694   0.013604   0.000000  -0.000000  -0.162026  -0.000000  -0.000000   43.0000     0.2156
    4.000     0.000   0.493375   0.006082   0.008876   0.014958   0.000000  -0.000000  -0.179304  -0.000000  -0.000000   43.0000     0.2145
    4.500     0.000   0.544284   0.007397   0.009067   0.016464   0.000000  -0.000000  -0.197102  -0.000000  -0.000000   43.0000     0.2138
    5.000     0.000   0.596138   0.008869   0.009272   0.018140   0.000000  -0.000000  -0.215463  -0.000000  -0.000000   43.0000     0.2134
    5.500     0.000   0.648676   0.010486   0.009494   0.019980   0.000000  -0.000000  -0.234335  -0.000000  -0.000000   43.0000     0.2133
    6.000     0.000   0.701194   0.012241   0.009716   0.021957   0.000000   0.000000  -0.253205  -0.000000  -0.000000   43.0000     0.2132
    6.500     0.000   0.753275   0.014117   0.009956   0.024073   0.000000   0.000000  -0.271893  -0.000000  -0.000000   43.0000     0.2130
    7.000     0.000   0.803445   0.016047   0.010209   0.026257   0.000000   0.000000  -0.289771  -0.000000  -0.000000   43.0000     0.2125
    7.500     0.000   0.852305   0.018069   0.010464   0.028533   0.000000   0.000000  -0.307117  -0.000000  -0.000000   43.0000     0.2120
    8.000     0.000   0.900080   0.020161   0.010753   0.030914   0.000000   0.000000  -0.323954  -0.000000  -0.000000   43.0000     0.2113
    8.500     0.000   0.943668   0.022188   0.011048   0.033236   0.000000  -0.000000  -0.338466  -0.000000  -0.000000   43.0000     0.2101
    9.000     0.000   0.987018   0.024299   0.011360   0.035659   0.000000  -0.000000  -0.352805  -0.000000  -0.000000   43.0000     0.2090
    9.500     0.000   1.030282   0.026500   0.011707   0.038206   0.000000   0.000000  -0.367098  -0.000000  -0.000000   43.0000     0.2079
   10.000     0.000   1.073526   0.028794   0.012084   0.040878   0.000000   0.000000  -0.381385  -0.000000  -0.000000   43.0000     0.2069
   10.500     0.000   1.116744   0.031179   0.012490   0.043670   0.000000   0.000000  -0.395658  -0.000000  -0.000000   43.0000     0.2059
   11.000     0.000   1.159871   0.033653   0.012934   0.046586   0.000000   0.000000  -0.409888  -0.000000  -0.000000   43.0000     0.2050
   11.500     0.000   1.202757   0.036205   0.013426   0.049631   0.000000  -0.000000  -0.424021  -0.000000  -0.000000   43.0000     0.2041
   12.000     0.000   1.245157   0.038811   0.013977   0.052788   0.000000   0.000000  -0.437936  -0.000000  -0.000000   43.0000     0.2032
   12.500     0.000   1.286578   0.041458   0.014611   0.056069   0.000000   0.000000  -0.451420  -0.000000  -0.000000   43.0000     0.2022
   13.000     0.000   1.326811   0.044120   0.015334   0.059454   0.000000  -0.000000  -0.464370  -0.000000  -0.000000   43.0000     0.2013
   13.500     0.000   1.365347   0.046759   0.016172   0.062931   0.000000   0.000000  -0.476577  -0.000000  -0.000000   43.0000     0.2002
   14.000     0.000   1.402257   0.049366   0.017104   0.066470   0.000000  -0.000000  -0.488042  -0.000000  -0.000000   43.0000     0.1991
   14.500     0.000   1.437025   0.051903   0.018129   0.070032   0.000000  -0.000000  -0.498568  -0.000000  -0.000000   43.0000     0.1979
   15.000     0.000   1.468634   0.054296   0.019254   0.073551   0.000000  -0.000000  -0.507739  -0.000000  -0.000000   43.0000     0.1966
   15.500     0.000   1.495403   0.056418   0.020513   0.076930   0.000000   0.000000  -0.514687  -0.000000  -0.000000   43.0000     0.1950
   16.000     0.000   1.517793   0.058251   0.022011   0.080262   0.000000   0.000000  -0.519737  -0.000000  -0.000000   43.0000     0.1933
   16.500     0.000   1.278630   0.085571   0.016698   0.102269   0.000000  -0.000000  -0.470095  -0.000000  -0.000000   43.0000     0.1957
