xflr5 v6.61

Plane name :        23012/23008 Gradually
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.071224   0.000158   0.008481   0.008639   0.000000  -0.000000   0.011892   0.000000   0.000000   43.0000     0.0578
   -1.500     0.000  -0.024195   0.000022   0.008324   0.008346   0.000000  -0.000000  -0.003873  -0.000000  -0.000000   43.0000    -0.0356
   -1.000     0.000   0.020797   0.000011   0.008126   0.008137   0.000000  -0.000000  -0.018806   0.000000   0.000000   43.0000     0.5025
   -0.500     0.000   0.064028   0.000121   0.007682   0.007803   0.000000  -0.000000  -0.032801   0.000000  -0.000000   43.0000     0.3491
    0.000     0.000   0.106462   0.000345   0.007196   0.007540   0.000000  -0.000000  -0.046461   0.000000  -0.000000   43.0000     0.2723
    0.500     0.000   0.151596   0.000702   0.006949   0.007650   0.000000  -0.000000  -0.061373   0.000000  -0.000000   43.0000     0.2492
    1.000     0.000   0.198861   0.001217   0.006956   0.008173   0.000000  -0.000000  -0.077270   0.000000  -0.000000   43.0000     0.2382
    1.500     0.000   0.245683   0.001871   0.007012   0.008883   0.000000  -0.000000  -0.093019   0.000000  -0.000000   43.0000     0.2318
    2.000     0.000   0.291647   0.002642   0.007104   0.009746   0.000000  -0.000000  -0.108364   0.000000  -0.000000   43.0000     0.2272
    2.500     0.000   0.337617   0.003547   0.007236   0.010783   0.000000  -0.000000  -0.123738  -0.000000  -0.000000   43.0000     0.2241
    3.000     0.000   0.383544   0.004583   0.007376   0.011959   0.000000  -0.000000  -0.139106   0.000000  -0.000000   43.0000     0.2214
    3.500     0.000   0.429593   0.005755   0.007532   0.013287   0.000000   0.000000  -0.154556   0.000000  -0.000000   43.0000     0.2192
    4.000     0.000   0.475507   0.007056   0.007702   0.014758   0.000000  -0.000000  -0.169948  -0.000000  -0.000000   43.0000     0.2175
    4.500     0.000   0.521315   0.008487   0.007883   0.016370   0.000000  -0.000000  -0.185286  -0.000000  -0.000000   43.0000     0.2161
    5.000     0.000   0.567020   0.010046   0.008080   0.018125   0.000000  -0.000000  -0.200611  -0.000000  -0.000000   43.0000     0.2148
    5.500     0.000   0.613073   0.011749   0.008293   0.020042   0.000000  -0.000000  -0.216268  -0.000000  -0.000000   43.0000     0.2139
    6.000     0.000   0.660257   0.013623   0.008512   0.022135   0.000000  -0.000000  -0.232690  -0.000000  -0.000000   43.0000     0.2134
    6.500     0.000   0.708201   0.015683   0.008744   0.024427   0.000000  -0.000000  -0.249694  -0.000000  -0.000000   43.0000     0.2132
    7.000     0.000   0.756702   0.017910   0.008995   0.026906   0.000000  -0.000000  -0.267109  -0.000000  -0.000000   43.0000     0.2131
    7.500     0.000   0.805381   0.020297   0.009260   0.029558   0.000000  -0.000000  -0.284715  -0.000000  -0.000000   43.0000     0.2130
    8.000     0.000   0.854066   0.022836   0.009536   0.032373   0.000000  -0.000000  -0.302377  -0.000000  -0.000000   43.0000     0.2130
    8.500     0.000   0.902522   0.025515   0.009818   0.035333   0.000000  -0.000000  -0.319947  -0.000000  -0.000000   43.0000     0.2129
    9.000     0.000   0.949440   0.028271   0.010121   0.038391   0.000000  -0.000000  -0.336663  -0.000000  -0.000000   43.0000     0.2125
    9.500     0.000   0.993868   0.031016   0.010466   0.041482   0.000000  -0.000000  -0.351887  -0.000000  -0.000000   43.0000     0.2118
   10.000     0.000   1.036107   0.033723   0.010888   0.044611   0.000000  -0.000000  -0.365646  -0.000000  -0.000000   43.0000     0.2108
   10.500     0.000   1.077460   0.036492   0.011404   0.047896   0.000000  -0.000000  -0.378924  -0.000000  -0.000000   43.0000     0.2097
   11.000     0.000   1.118334   0.039331   0.011942   0.051273   0.000000   0.000000  -0.391895  -0.000000  -0.000000   43.0000     0.2086
   11.500     0.000   1.158670   0.042236   0.012545   0.054780   0.000000  -0.000000  -0.404621  -0.000000  -0.000000   43.0000     0.2075
   12.000     0.000   1.198279   0.045192   0.013221   0.058412   0.000000  -0.000000  -0.417018  -0.000000  -0.000000   43.0000     0.2064
   12.500     0.000   1.237411   0.048204   0.013963   0.062167   0.000000  -0.000000  -0.429289  -0.000000  -0.000000   43.0000     0.2053
   13.000     0.000   1.275533   0.051263   0.014807   0.066070   0.000000  -0.000000  -0.441219  -0.000000  -0.000000   43.0000     0.2042
   13.500     0.000   1.312381   0.054303   0.015772   0.070076   0.000000  -0.000000  -0.452675  -0.000000  -0.000000   43.0000     0.2031
   14.000     0.000   1.347416   0.057305   0.016860   0.074165   0.000000   0.000000  -0.463448  -0.000000  -0.000000   43.0000     0.2020


