xflr5 v6.61

Plane name :        c90_s0_+2_twist_only_elevator
Polar name :        T1-42.0 m/s-VLM2-160.0kg-x0.0m
Freestream speed :  42.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.123245   0.001288   0.008811   0.010098   0.000000   0.000000   0.028515   0.000000   0.000000   42.0000     0.1247
   -1.500     0.000  -0.092457   0.000725   0.008753   0.009477   0.000000   0.000000   0.021393   0.000000  -0.000000   42.0000     0.1247
   -1.000     0.000  -0.061649   0.000322   0.008713   0.009035   0.000000   0.000000   0.014266  -0.000000  -0.000000   42.0000     0.1246
   -0.500     0.000  -0.030828   0.000081   0.008690   0.008771   0.000000   0.000000   0.007134   0.000000  -0.000000   42.0000     0.1246
    0.000     0.000   0.000000   0.000000   0.008679   0.008679   0.000000   0.000000   0.000000  -0.000000   0.000000   42.0000     0.0000
    0.500     0.000   0.030828   0.000081   0.008690   0.008771   0.000000  -0.000000  -0.007134   0.000000  -0.000000   42.0000     0.1246
    1.000     0.000   0.061649   0.000322   0.008713   0.009035   0.000000  -0.000000  -0.014266  -0.000000  -0.000000   42.0000     0.1246
    1.500     0.000   0.092457   0.000725   0.008753   0.009477   0.000000  -0.000000  -0.021393  -0.000000  -0.000000   42.0000     0.1247
    2.000     0.000   0.123245   0.001288   0.008811   0.010098   0.000000  -0.000000  -0.028515   0.000000   0.000000   42.0000     0.1247
    2.500     0.000   0.154007   0.002011   0.008882   0.010894   0.000000  -0.000000  -0.035628   0.000000  -0.000000   42.0000     0.1247
    3.000     0.000   0.184736   0.002894   0.008968   0.011862   0.000000  -0.000000  -0.042731   0.000000   0.000000   42.0000     0.1247
    3.500     0.000   0.215426   0.003936   0.009064   0.013000   0.000000  -0.000000  -0.049822   0.000000   0.000000   42.0000     0.1248
    4.000     0.000   0.246070   0.005136   0.009169   0.014304   0.000000  -0.000000  -0.056898   0.000000   0.000000   42.0000     0.1248
    4.500     0.000   0.276662   0.006493   0.009281   0.015774   0.000000  -0.000000  -0.063957   0.000000   0.000000   42.0000     0.1249
    5.000     0.000   0.307196   0.008006   0.009400   0.017406   0.000000  -0.000000  -0.070997   0.000000   0.000000   42.0000     0.1249
    5.500     0.000   0.337664   0.009675   0.009524   0.019199   0.000000  -0.000000  -0.078017   0.000000  -0.000000   42.0000     0.1250
    6.000     0.000   0.368061   0.011497   0.009656   0.021152   0.000000  -0.000000  -0.085013   0.000000  -0.000000   42.0000     0.1250
    6.500     0.000   0.398380   0.013471   0.009794   0.023265   0.000000  -0.000000  -0.091985   0.000000  -0.000000   42.0000     0.1251
    7.000     0.000   0.428614   0.015597   0.009943   0.025539   0.000000  -0.000000  -0.098929   0.000000   0.000000   42.0000     0.1252
    7.500     0.000   0.458759   0.017871   0.010101   0.027972   0.000000  -0.000000  -0.105844   0.000000   0.000000   42.0000     0.1253
    8.000     0.000   0.488807   0.020293   0.010267   0.030561   0.000000  -0.000000  -0.112728   0.000000  -0.000000   42.0000     0.1254
    8.500     0.000   0.518752   0.022861   0.010440   0.033301   0.000000  -0.000000  -0.119579   0.000000   0.000000   42.0000     0.1255
    9.000     0.000   0.548588   0.025572   0.010627   0.036199   0.000000  -0.000000  -0.126395   0.000000   0.000000   42.0000     0.1256
    9.500     0.000   0.578309   0.028426   0.010829   0.039255   0.000000  -0.000000  -0.133173   0.000000   0.000000   42.0000     0.1257
   10.000     0.000   0.607909   0.031418   0.011051   0.042469   0.000000  -0.000000  -0.139913   0.000000  -0.000000   42.0000     0.1258
   10.500     0.000   0.637383   0.034548   0.011290   0.045838   0.000000  -0.000000  -0.146613   0.000000   0.000000   42.0000     0.1259
   11.000     0.000   0.666723   0.037812   0.011545   0.049357   0.000000  -0.000000  -0.153269   0.000000  -0.000000   42.0000     0.1260
   11.500     0.000   0.695926   0.041209   0.011815   0.053023   0.000000  -0.000000  -0.159881   0.000000  -0.000000   42.0000     0.1261
   12.000     0.000   0.724983   0.044735   0.012114   0.056849   0.000000  -0.000000  -0.166447   0.000000   0.000000   42.0000     0.1263
   12.500     0.000   0.753891   0.048389   0.012432   0.060820   0.000000  -0.000000  -0.172964   0.000000  -0.000000   42.0000     0.1264
   13.000     0.000   0.782644   0.052166   0.012756   0.064922   0.000000  -0.000000  -0.179431   0.000000   0.000000   42.0000     0.1266
   13.500     0.000   0.811235   0.056065   0.013136   0.069201   0.000000  -0.000000  -0.185848   0.000000  -0.000000   42.0000     0.1267
   14.000     0.000   0.839660   0.060082   0.013496   0.073578   0.000000  -0.000000  -0.192209   0.000000   0.000000   42.0000     0.1269
   14.500     0.000   0.867914   0.064214   0.013869   0.078083   0.000000  -0.000000  -0.198514   0.000000   0.000000   42.0000     0.1270
   15.000     0.000   0.895990   0.068458   0.014356   0.082814   0.000000  -0.000000  -0.204767   0.000000  -0.000000   42.0000     0.1272


