xflr5 v6.61

Plane name :        c90_s0_+2_twist_only_fin
Polar name :        T1-42.0 m/s-VLM2-160.0kg-x0.0m
Freestream speed :  42.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.121707   0.001234   0.008204   0.009438   0.000000   0.000000   0.029785  -0.000000  -0.000000   42.0000     0.2464
   -1.500     0.000  -0.091303   0.000695   0.008129   0.008824   0.000000   0.000000   0.022346  -0.000000  -0.000000   42.0000     0.2464
   -1.000     0.000  -0.060879   0.000309   0.008079   0.008388   0.000000   0.000000   0.014901   0.000000  -0.000000   42.0000     0.2464
   -0.500     0.000  -0.030443   0.000077   0.008049   0.008126   0.000000   0.000000   0.007452  -0.000000  -0.000000   42.0000     0.2464
    0.000     0.000   0.000000   0.000000   0.008031   0.008031   0.000000   0.000000   0.000000   0.000000   0.000000   42.0000     0.0000
    0.500     0.000   0.030443   0.000077   0.008049   0.008126   0.000000  -0.000000  -0.007452  -0.000000  -0.000000   42.0000     0.2464
    1.000     0.000   0.060879   0.000309   0.008079   0.008388   0.000000  -0.000000  -0.014901  -0.000000  -0.000000   42.0000     0.2464
    1.500     0.000   0.091303   0.000695   0.008129   0.008824   0.000000  -0.000000  -0.022346  -0.000000  -0.000000   42.0000     0.2464
    2.000     0.000   0.121707   0.001234   0.008204   0.009438   0.000000  -0.000000  -0.029785  -0.000000  -0.000000   42.0000     0.2464
    2.500     0.000   0.152086   0.001928   0.008294   0.010221   0.000000  -0.000000  -0.037215  -0.000000  -0.000000   42.0000     0.2465
    3.000     0.000   0.182433   0.002774   0.008401   0.011175   0.000000  -0.000000  -0.044634  -0.000000  -0.000000   42.0000     0.2465
    3.500     0.000   0.212743   0.003772   0.008522   0.012295   0.000000  -0.000000  -0.052041  -0.000000  -0.000000   42.0000     0.2466
    4.000     0.000   0.243008   0.004923   0.008651   0.013573   0.000000  -0.000000  -0.059432  -0.000000  -0.000000   42.0000     0.2467
    4.500     0.000   0.273222   0.006223   0.008790   0.015013   0.000000  -0.000000  -0.066806  -0.000000  -0.000000   42.0000     0.2468
    5.000     0.000   0.303380   0.007674   0.008933   0.016606   0.000000  -0.000000  -0.074161  -0.000000  -0.000000   42.0000     0.2469
    5.500     0.000   0.333474   0.009273   0.009080   0.018353   0.000000  -0.000000  -0.081494  -0.000000  -0.000000   42.0000     0.2470
    6.000     0.000   0.363499   0.011019   0.009233   0.020252   0.000000  -0.000000  -0.088802  -0.000000  -0.000000   42.0000     0.2471
    6.500     0.000   0.393449   0.012912   0.009391   0.022303   0.000000  -0.000000  -0.096085  -0.000000  -0.000000   42.0000     0.2473
    7.000     0.000   0.423317   0.014949   0.009556   0.024505   0.000000  -0.000000  -0.103339  -0.000000  -0.000000   42.0000     0.2474
    7.500     0.000   0.453098   0.017129   0.009736   0.026865   0.000000  -0.000000  -0.110563  -0.000000  -0.000000   42.0000     0.2476
    8.000     0.000   0.482785   0.019451   0.009923   0.029374   0.000000  -0.000000  -0.117754  -0.000000  -0.000000   42.0000     0.2477
    8.500     0.000   0.512372   0.021912   0.010117   0.032029   0.000000  -0.000000  -0.124910  -0.000000  -0.000000   42.0000     0.2479
    9.000     0.000   0.541854   0.024511   0.010314   0.034825   0.000000  -0.000000  -0.132030  -0.000000  -0.000000   42.0000     0.2481
    9.500     0.000   0.571225   0.027246   0.010531   0.037776   0.000000  -0.000000  -0.139111  -0.000000  -0.000000   42.0000     0.2483
   10.000     0.000   0.600478   0.030114   0.010764   0.040878   0.000000  -0.000000  -0.146151  -0.000000  -0.000000   42.0000     0.2485
   10.500     0.000   0.629608   0.033114   0.011027   0.044141   0.000000  -0.000000  -0.153149  -0.000000  -0.000000   42.0000     0.2488
   11.000     0.000   0.658610   0.036243   0.011310   0.047553   0.000000  -0.000000  -0.160102  -0.000000  -0.000000   42.0000     0.2490
   11.500     0.000   0.687478   0.039498   0.011610   0.051108   0.000000  -0.000000  -0.167009  -0.000000  -0.000000   42.0000     0.2492
   12.000     0.000   0.716205   0.042878   0.011926   0.054805   0.000000  -0.000000  -0.173867  -0.000000  -0.000000   42.0000     0.2495
   12.500     0.000   0.744788   0.046380   0.012263   0.058643   0.000000  -0.000000  -0.180674  -0.000000  -0.000000   42.0000     0.2498
   13.000     0.000   0.773219   0.050001   0.012666   0.062667   0.000000  -0.000000  -0.187431  -0.000000  -0.000000   42.0000     0.2500
   13.500     0.000   0.801495   0.053738   0.013038   0.066776   0.000000  -0.000000  -0.194131  -0.000000  -0.000000   42.0000     0.2503
   14.000     0.000   0.829609   0.057588   0.013456   0.071044   0.000000  -0.000000  -0.200777  -0.000000  -0.000000   42.0000     0.2506
   14.500     0.000   0.857556   0.061548   0.013953   0.075501   0.000000  -0.000000  -0.207366  -0.000000  -0.000000   42.0000     0.2509
   15.000     0.000   0.885332   0.065616   0.014361   0.079978   0.000000  -0.000000  -0.213892  -0.000000  -0.000000   42.0000     0.2512
   15.500     0.000   0.912932   0.069789   0.014801   0.084589   0.000000  -0.000000  -0.220355  -0.000000  -0.000000   42.0000     0.2516
   16.000     0.000   0.940350   0.074062   0.015452   0.089514   0.000000  -0.000000  -0.226764  -0.000000  -0.000000   42.0000     0.2519
   16.500     0.000   0.967581   0.078433   0.016219   0.094651   0.000000  -0.000000  -0.233114  -0.000000  -0.000000   42.0000     0.2523
   17.000     0.000   0.994622   0.082898   0.016899   0.099797   0.000000  -0.000000  -0.239392  -0.000000  -0.000000   42.0000     0.2526
   17.500     0.000   1.021466   0.087454   0.017626   0.105080   0.000000  -0.000000  -0.245604  -0.000000  -0.000000   42.0000     0.2530
   18.000     0.000   1.048110   0.092097   0.018532   0.110629   0.000000  -0.000000  -0.251754  -0.000000  -0.000000   42.0000     0.2534
   18.500     0.000   1.074550   0.096825   0.030370   0.127194   0.000000  -0.000000  -0.258448  -0.000000  -0.000000   42.0000     0.2538
   19.000     0.000   1.100780   0.101632   0.056488   0.158120   0.000000  -0.000000  -0.266031  -0.000000  -0.000000   42.0000     0.2542
   19.500     0.000   1.126797   0.106516   0.061459   0.167974   0.000000  -0.000000  -0.272399  -0.000000  -0.000000   42.0000     0.2546
   20.000     0.000   1.152597   0.111472   0.066206   0.177678   0.000000  -0.000000  -0.278717  -0.000000  -0.000000   42.0000     0.2550


