xflr5 v6.61

Plane name :        c90_s0
Polar name :        T1-42.0 m/s-LLT
Freestream speed :  42.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.355212   0.003194   0.008812   0.012006   0.000000   0.000000   0.108829  -0.000000  -0.000000   42.0000     0.1788
   -4.500     0.000  -0.307406   0.002437   0.008570   0.011007   0.000000   0.000000   0.092845  -0.000000  -0.000000   42.0000     0.1761
   -4.000     0.000  -0.260486   0.001755   0.008347   0.010102   0.000000  -0.000000   0.077136  -0.000000  -0.000000   42.0000     0.1725
   -3.500     0.000  -0.213201   0.001182   0.008204   0.009385   0.000000   0.000000   0.061156  -0.000000  -0.000000   42.0000     0.1667
   -3.000     0.000  -0.165802   0.000720   0.008092   0.008812   0.000000   0.000000   0.045069  -0.000000  -0.000000   42.0000     0.1572
   -2.500     0.000  -0.118223   0.000372   0.008012   0.008384   0.000000   0.000000   0.028865   0.000000  -0.000000   42.0000     0.1389
   -2.000     0.000  -0.070554   0.000137   0.007948   0.008085   0.000000   0.000000   0.012578  -0.000000  -0.000000   42.0000     0.0907
   -1.500     0.000  -0.022980   0.000017   0.007891   0.007908   0.000000   0.000000  -0.003723  -0.000000  -0.000000   42.0000    -0.0927
   -1.000     0.000   0.023092   0.000010   0.007585   0.007595   0.000000   0.000000  -0.019573  -0.000000  -0.000000   42.0000     0.4984
   -0.500     0.000   0.065652   0.000100   0.006725   0.006825   0.000000   0.000000  -0.033517  -0.000000  -0.000000   42.0000     0.3134
    0.000     0.000   0.110367   0.000292   0.006324   0.006616   0.000000   0.000000  -0.048338  -0.000000  -0.000000   42.0000     0.2614
    0.500     0.000   0.155957   0.000593   0.006147   0.006740   0.000000  -0.000000  -0.063532  -0.000000  -0.000000   42.0000     0.2419
    1.000     0.000   0.202210   0.001005   0.006126   0.007131   0.000000  -0.000000  -0.079008  -0.000000  -0.000000   42.0000     0.2314
    1.500     0.000   0.248682   0.001528   0.006181   0.007709   0.000000   0.000000  -0.094525  -0.000000  -0.000000   42.0000     0.2247
    2.000     0.000   0.295213   0.002162   0.006275   0.008436   0.000000   0.000000  -0.109951  -0.000000  -0.000000   42.0000     0.2200
    2.500     0.000   0.342450   0.002915   0.006414   0.009329   0.000000  -0.000000  -0.125645  -0.000000  -0.000000   42.0000     0.2167
    3.000     0.000   0.390677   0.003799   0.006585   0.010385   0.000000  -0.000000  -0.141916  -0.000000  -0.000000   42.0000     0.2145
    3.500     0.000   0.439648   0.004815   0.006772   0.011587   0.000000   0.000000  -0.158508  -0.000000  -0.000000   42.0000     0.2130
    4.000     0.000   0.489769   0.005976   0.006964   0.012940   0.000000  -0.000000  -0.175654  -0.000000  -0.000000   42.0000     0.2119
    4.500     0.000   0.541099   0.007301   0.007163   0.014463   0.000000   0.000000  -0.193528  -0.000000  -0.000000   42.0000     0.2114
    5.000     0.000   0.594341   0.008797   0.007375   0.016172   0.000000  -0.000000  -0.212665  -0.000000  -0.000000   42.0000     0.2115
    5.500     0.000   0.648930   0.010483   0.007600   0.018084   0.000000  -0.000000  -0.232841  -0.000000  -0.000000   42.0000     0.2119
    6.000     0.000   0.704568   0.012354   0.007824   0.020178   0.000000   0.000000  -0.253793  -0.000000  -0.000000   42.0000     0.2126
