xflr5 v6.61

Plane name :        23012
Polar name :        T1-43.0 m/s-LLT
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.067710   0.000146   0.007953   0.008099   0.000000  -0.000000   0.010858   0.000000   0.000000   43.0000     0.0597
   -1.500     0.000  -0.021981   0.000018   0.007831   0.007850   0.000000  -0.000000  -0.004366   0.000000  -0.000000   43.0000    -0.0312
   -1.000     0.000   0.021294   0.000011   0.007459   0.007470   0.000000  -0.000000  -0.018624   0.000000  -0.000000   43.0000     0.4648
   -0.500     0.000   0.062805   0.000115   0.006791   0.006906   0.000000  -0.000000  -0.031841  -0.000000  -0.000000   43.0000     0.3376
    0.000     0.000   0.105397   0.000335   0.006395   0.006730   0.000000  -0.000000  -0.045513   0.000000  -0.000000   43.0000     0.2683
    0.500     0.000   0.149069   0.000678   0.006222   0.006899   0.000000   0.000000  -0.059668   0.000000  -0.000000   43.0000     0.2453
    1.000     0.000   0.193600   0.001151   0.006204   0.007356   0.000000  -0.000000  -0.074226   0.000000  -0.000000   43.0000     0.2337
    1.500     0.000   0.239005   0.001762   0.006255   0.008017   0.000000  -0.000000  -0.089201   0.000000  -0.000000   43.0000     0.2270
    2.000     0.000   0.285623   0.002521   0.006338   0.008860   0.000000  -0.000000  -0.104766   0.000000  -0.000000   43.0000     0.2231
    2.500     0.000   0.333037   0.003438   0.006470   0.009908   0.000000  -0.000000  -0.120727   0.000000  -0.000000   43.0000     0.2208
    3.000     0.000   0.380720   0.004501   0.006609   0.011110   0.000000  -0.000000  -0.136825   0.000000   0.000000   43.0000     0.2186
    3.500     0.000   0.428654   0.005715   0.006770   0.012485   0.000000  -0.000000  -0.153076   0.000000  -0.000000   43.0000     0.2170
    4.000     0.000   0.476248   0.007066   0.006940   0.014006   0.000000  -0.000000  -0.169170   0.000000   0.000000   43.0000     0.2157
    4.500     0.000   0.523606   0.008553   0.007118   0.015671   0.000000  -0.000000  -0.185159  -0.000000  -0.000000   43.0000     0.2146
    5.000     0.000   0.570681   0.010177   0.007310   0.017487   0.000000  -0.000000  -0.201077  -0.000000  -0.000000   43.0000     0.2136
    5.500     0.000   0.617646   0.011934   0.007515   0.019449   0.000000  -0.000000  -0.217177  -0.000000  -0.000000   43.0000     0.2130
    6.000     0.000   0.666050   0.013873   0.007718   0.021591   0.000000  -0.000000  -0.234272  -0.000000  -0.000000   43.0000     0.2128
    6.500     0.000   0.715753   0.016021   0.007930   0.023951   0.000000   0.000000  -0.252255  -0.000000  -0.000000   43.0000     0.2129
    7.000     0.000   0.766277   0.018364   0.008162   0.026526   0.000000  -0.000000  -0.270806   0.000000   0.000000   43.0000     0.2132
    7.500     0.000   0.816781   0.020865   0.008414   0.029279   0.000000  -0.000000  -0.289475   0.000000   0.000000   43.0000     0.2134
    8.000     0.000   0.867328   0.023531   0.008672   0.032202   0.000000  -0.000000  -0.308202   0.000000   0.000000   43.0000     0.2136
    8.500     0.000   0.917520   0.026349   0.008923   0.035272   0.000000  -0.000000  -0.326777  -0.000000  -0.000000   43.0000     0.2137
    9.000     0.000   0.965291   0.029199   0.009186   0.038385   0.000000  -0.000000  -0.344001  -0.000000  -0.000000   43.0000     0.2135
    9.500     0.000   1.008759   0.031933   0.009474   0.041406   0.000000  -0.000000  -0.358704  -0.000000  -0.000000   43.0000     0.2126
   10.000     0.000   1.049875   0.034613   0.009784   0.044397   0.000000  -0.000000  -0.371756  -0.000000  -0.000000   43.0000     0.2113
   10.500     0.000   1.090521   0.037368   0.010111   0.047479   0.000000   0.000000  -0.384488  -0.000000  -0.000000   43.0000     0.2100
   11.000     0.000   1.130961   0.040210   0.010462   0.050672   0.000000  -0.000000  -0.397060  -0.000000  -0.000000   43.0000     0.2087
   11.500     0.000   1.171282   0.043146   0.010851   0.053997   0.000000  -0.000000  -0.409578  -0.000000  -0.000000   43.0000     0.2075
   12.000     0.000   1.211362   0.046164   0.011291   0.057455   0.000000  -0.000000  -0.421989  -0.000000  -0.000000   43.0000     0.2063
   12.500     0.000   1.251194   0.049265   0.011800   0.061065   0.000000  -0.000000  -0.434387  -0.000000  -0.000000   43.0000     0.2052
   13.000     0.000   1.290552   0.052418   0.012389   0.064808   0.000000   0.000000  -0.446645  -0.000000  -0.000000   43.0000     0.2041
   13.500     0.000   1.329117   0.055621   0.013067   0.068688   0.000000  -0.000000  -0.458598  -0.000000  -0.000000   43.0000     0.2030
   14.000     0.000   1.366568   0.058835   0.013843   0.072678   0.000000  -0.000000  -0.470084  -0.000000  -0.000000   43.0000     0.2019
   14.500     0.000   1.402638   0.062030   0.014713   0.076743   0.000000  -0.000000  -0.480974   0.000000  -0.000000   43.0000     0.2008
   15.000     0.000   1.436791   0.065157   0.015680   0.080837   0.000000  -0.000000  -0.491026  -0.000000  -0.000000   43.0000     0.1996


