xflr5 v6.61

Plane name :        23012/23008 Suddenly
Polar name :        T1-43.0 m/s-LLT-160.0kg-x0.0m
Freestream speed :  43.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.070458   0.000155   0.008359   0.008514   0.000000  -0.000000   0.011462  -0.000000  -0.000000   43.0000     0.0528
   -1.500     0.000  -0.023279   0.000020   0.008209   0.008230   0.000000  -0.000000  -0.004332   0.000000  -0.000000   43.0000    -0.0537
   -1.000     0.000   0.021969   0.000012   0.008045   0.008057   0.000000  -0.000000  -0.019330  -0.000000   0.000000   43.0000     0.4788
   -0.500     0.000   0.064849   0.000125   0.007542   0.007667   0.000000  -0.000000  -0.033108  -0.000000  -0.000000   43.0000     0.3452
    0.000     0.000   0.106858   0.000348   0.006979   0.007327   0.000000  -0.000000  -0.046536  -0.000000  -0.000000   43.0000     0.2718
    0.500     0.000   0.151859   0.000706   0.006689   0.007396   0.000000  -0.000000  -0.061344  -0.000000  -0.000000   43.0000     0.2489
    1.000     0.000   0.199401   0.001226   0.006688   0.007914   0.000000  -0.000000  -0.077295  -0.000000  -0.000000   43.0000     0.2380
    1.500     0.000   0.246441   0.001887   0.006738   0.008625   0.000000  -0.000000  -0.093104  -0.000000  -0.000000   43.0000     0.2317
    2.000     0.000   0.292060   0.002655   0.006826   0.009481   0.000000  -0.000000  -0.108258  -0.000000  -0.000000   43.0000     0.2270
    2.500     0.000   0.337559   0.003553   0.006957   0.010510   0.000000  -0.000000  -0.123383  -0.000000  -0.000000   43.0000     0.2237
    3.000     0.000   0.383036   0.004576   0.007094   0.011670   0.000000   0.000000  -0.138504  -0.000000  -0.000000   43.0000     0.2208
    3.500     0.000   0.428608   0.005734   0.007251   0.012985   0.000000  -0.000000  -0.153705  -0.000000   0.000000   43.0000     0.2186
    4.000     0.000   0.474099   0.007022   0.007421   0.014443   0.000000  -0.000000  -0.168868  -0.000000  -0.000000   43.0000     0.2168
    4.500     0.000   0.519528   0.008439   0.007603   0.016042   0.000000  -0.000000  -0.183996  -0.000000  -0.000000   43.0000     0.2153
    5.000     0.000   0.565063   0.009987   0.007802   0.017789   0.000000  -0.000000  -0.199225  -0.000000  -0.000000   43.0000     0.2140
    5.500     0.000   0.611283   0.011698   0.008016   0.019714   0.000000  -0.000000  -0.214986  -0.000000  -0.000000   43.0000     0.2132
    6.000     0.000   0.658852   0.013591   0.008234   0.021825   0.000000  -0.000000  -0.231666  -0.000000   0.000000   43.0000     0.2128
    6.500     0.000   0.707418   0.015671   0.008466   0.024137   0.000000  -0.000000  -0.249072  -0.000000  -0.000000   43.0000     0.2128
    7.000     0.000   0.756509   0.017935   0.008714   0.026648   0.000000  -0.000000  -0.266906  -0.000000   0.000000   43.0000     0.2129
    7.500     0.000   0.805999   0.020360   0.008973   0.029333   0.000000  -0.000000  -0.285044  -0.000000   0.000000   43.0000     0.2130
    8.000     0.000   0.855359   0.022942   0.009245   0.032187   0.000000  -0.000000  -0.303170  -0.000000  -0.000000   43.0000     0.2131
    8.500     0.000   0.904682   0.025679   0.009517   0.035196   0.000000  -0.000000  -0.321311   0.000000   0.000000   43.0000     0.2131
    9.000     0.000   0.952700   0.028522   0.009810   0.038332   0.000000  -0.000000  -0.338715  -0.000000   0.000000   43.0000     0.2130
    9.500     0.000   0.997422   0.031285   0.010152   0.041437   0.000000  -0.000000  -0.354073   0.000000   0.000000   43.0000     0.2123
   10.000     0.000   1.039279   0.033979   0.010588   0.044567   0.000000  -0.000000  -0.367563   0.000000   0.000000   43.0000     0.2111
   10.500     0.000   1.080196   0.036730   0.011112   0.047842   0.000000  -0.000000  -0.380527  -0.000000   0.000000   43.0000     0.2100
   11.000     0.000   1.120683   0.039553   0.011659   0.051211   0.000000  -0.000000  -0.393224  -0.000000   0.000000   43.0000     0.2088
   11.500     0.000   1.160632   0.042439   0.012274   0.054713   0.000000  -0.000000  -0.405695  -0.000000   0.000000   43.0000     0.2076
   12.000     0.000   1.199860   0.045378   0.012968   0.058346   0.000000  -0.000000  -0.417864  -0.000000  -0.000000   43.0000     0.2064
   12.500     0.000   1.238704   0.048379   0.013724   0.062103   0.000000  -0.000000  -0.429978  -0.000000   0.000000   43.0000     0.2053
   13.000     0.000   1.276398   0.051409   0.014606   0.066015   0.000000  -0.000000  -0.441715  -0.000000   0.000000   43.0000     0.2042
   13.500     0.000   1.312717   0.054431   0.015605   0.070036   0.000000  -0.000000  -0.452964  -0.000000   0.000000   43.0000     0.2030
   14.000     0.000   1.346863   0.057385   0.016751   0.074136   0.000000  -0.000000  -0.463420  -0.000000   0.000000   43.0000     0.2019


